"classAttribute_attributes_0","classAttribute_attributes_1","classAttribute_baseIri","classAttribute_id","classAttribute_instances","classAttribute_iri","classAttribute_label_IRI-based","classAttribute_label_undefined","classAttribute_pos_0","classAttribute_pos_1","classAttribute_subClasses_0","classAttribute_subClasses_1","classAttribute_subClasses_2","classAttribute_subClasses_3","classAttribute_subClasses_4","classAttribute_subClasses_5","classAttribute_subClasses_6","classAttribute_subClasses_7","classAttribute_subClasses_8","classAttribute_superClasses_0","classAttribute_union_0","classAttribute_union_1"
"external","","http://www.hozo.jp/rdf/startuplife.xml","0","0","http://www.hozo.jp/rdf/startuplife.xml#bank","bank","bank","1558.89543479","1684.81822","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","2","0","http://www.hozo.jp/rdf/startuplife.xml#Make_fire_insurance_contract","Make_fire_insurance_contract","Make fire insurance contract","","","","","","","","","","","","3","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","4","0","http://www.hozo.jp/rdf/startuplife.xml#Transportaion","Transportaion","Transportaion","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","6","0","http://www.hozo.jp/rdf/startuplife.xml#Go_to_phone_shop","Go_to_phone_shop","Go to phone shop","","","","","","","","","","","","7","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","8","0","http://www.hozo.jp/rdf/startuplife.xml#app","app","app","585.787144776","699.275965831","10","11","12","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","13","0","http://www.hozo.jp/rdf/startuplife.xml#Job_hunting_activity","Job_hunting_activity","Job hunting activity","1982.98343684","763.796729369","15","16","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","14","0","http://www.hozo.jp/rdf/startuplife.xml#Activity","Activity","Activity","1513.71883607","673.610275794","18","3","7","19","13","20","21","22","23","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","24","0","http://www.hozo.jp/rdf/startuplife.xml#Entertainment","Entertainment","Entertainment","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","25","0","http://www.hozo.jp/rdf/startuplife.xml#Get_visa","Get_visa","Get visa","","","","","","","","","","","","26","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","26","0","http://www.hozo.jp/rdf/startuplife.xml#Apply_for_official_certification","Apply_for_official_certification","Apply for official certification","534.326261009","148.728420726","25","","","","","","","","","23","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","19","0","http://www.hozo.jp/rdf/startuplife.xml#Transportation_Activity","Transportation_Activity","Transportation Activity","2173.00539392","833.375861738","53","37","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","54","0","http://www.hozo.jp/rdf/startuplife.xml#send_by_post","send_by_post","send by post","","","","","","","","","","","","22","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","55","0","http://www.hozo.jp/rdf/startuplife.xml#dorm","dorm","dorm","","","","","","","","","","","","56","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","17","0","http://www.hozo.jp/rdf/startuplife.xml#Any","Any","Any","1486.40096477","502.439189447","66","9","67","68","69","52","14","5","","65","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","70","0","http://www.hozo.jp/rdf/startuplife.xml#company","company","company","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","71","0","http://www.hozo.jp/rdf/startuplife.xml#Walk","Walk","Walk","","","","","","","","","","","","53","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","36","0","http://www.hozo.jp/rdf/startuplife.xml#Take_train","Take_train","Take train","","","","","","","","","","","","37","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","73","0","http://www.hozo.jp/rdf/startuplife.xml#Shopping","Shopping","Shopping","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","16","0","http://www.hozo.jp/rdf/startuplife.xml#Find_a_part-time_job","Find_a_part-time_job","Find a part-time job","","","","","","","","","","","","13","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","74","0","http://www.hozo.jp/rdf/startuplife.xml#car","car","car","","","","","","","","","","","","75","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","10","0","http://www.hozo.jp/rdf/startuplife.xml#shopping","shopping","shopping","","","","","","","","","","","","8","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","78","0","http://www.hozo.jp/rdf/startuplife.xml#Money","Money","Money","488.371801386","907.245782761","79","80","","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","7","0","http://www.hozo.jp/rdf/startuplife.xml#Move_to","Move_to","Move to","1645.14772048","1253.66737111","81","6","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","82","0","http://www.hozo.jp/rdf/startuplife.xml#PC","PC","PC","","","","","","","","","","","","83","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","84","0","http://www.hozo.jp/rdf/startuplife.xml#bike","bike","bike","","","","","","","","","","","","75","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","85","0","http://www.hozo.jp/rdf/startuplife.xml#Make_electricity_power_aggreement","Make_electricity_power_aggreement","Make electricity power aggreement","","","","","","","","","","","","3","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","3","0","http://www.hozo.jp/rdf/startuplife.xml#Make_contract","Make_contract","Make contract","1922.70888283","928.573096194","86","2","85","87","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","9","0","http://www.hozo.jp/rdf/startuplife.xml#Entity","Entity","Entity","947.566901861","972.672784531","8","88","78","75","1","56","89","83","32","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","52","0","http://www.hozo.jp/rdf/startuplife.xml#People","People","People","1349.42823369","966.474439889","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","91","0","http://www.hozo.jp/rdf/startuplife.xml#international_money_transfer","international_money_transfer","international money transfer","","","","","","","","","","","","18","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","47","0","http://www.hozo.jp/rdf/startuplife.xml#different","different","different","1803.77264191","-488.438806372","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","93","0","http://www.hozo.jp/rdf/startuplife.xml#Draw_money","Draw_money","Draw money","","","","","","","","","","","","18","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","86","0","http://www.hozo.jp/rdf/startuplife.xml#Make_house_rental_contract","Make_house_rental_contract","Make house rental contract","","","","","","","","","","","","3","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","53","0","http://www.hozo.jp/rdf/startuplife.xml#Private_transportion_Activity","Private_transportion_Activity","Private transportion Activity","2579.63209268","824.931829151","94","71","95","","","","","","","19","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","23","0","http://www.hozo.jp/rdf/startuplife.xml#Apply","Apply","Apply","934.089915474","301.479224897","96","26","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","94","0","http://www.hozo.jp/rdf/startuplife.xml#Ride_bike","Ride_bike","Ride bike","","","","","","","","","","","","53","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","62","0","http://www.hozo.jp/rdf/startuplife.xml#Rent_Transportation_tool","Rent_Transportation_tool","Rent Transportation tool","1148.62284693","-299.084763318","98","","","","","","","","","20","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","99","0","http://www.hozo.jp/rdf/startuplife.xml#Resident_card","Resident_card","Resident card","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","98","0","http://www.hozo.jp/rdf/startuplife.xml#Rent_car","Rent_car","Rent car","","","","","","","","","","","","62","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","96","0","http://www.hozo.jp/rdf/startuplife.xml#Apply_for_financial_card","Apply_for_financial_card","Apply for financial card","722.835972319","-58.7248292306","","","","","","","","","","23","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","100","0","http://www.hozo.jp/rdf/startuplife.xml#exit-entry_administration","exit-entry_administration","exit-entry administration","","","","","","","","","","","","60","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","87","0","http://www.hozo.jp/rdf/startuplife.xml#Make_phone_contract","Make_phone_contract","Make phone contract","","","","","","","","","","","","3","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","101","0","http://www.hozo.jp/rdf/startuplife.xml#heath_insurance_card","heath_insurance_card","heath insurance card","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","15","0","http://www.hozo.jp/rdf/startuplife.xml#Find_a_formal_job","Find_a_formal_job","Find a formal job","","","","","","","","","","","","13","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","103","0","http://www.hozo.jp/rdf/startuplife.xml#rent_house","rent_house","rent house","","","","","","","","","","","","56","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","34","0","http://www.hozo.jp/rdf/startuplife.xml#Fire_insurance","Fire_insurance","Fire insurance","","","","","","","","","","","","32","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","1","0","http://www.hozo.jp/rdf/startuplife.xml#Organization","Organization","Organization","1203.96122638","1501.60862832","0","104","70","105","60","58","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","11","0","http://www.hozo.jp/rdf/startuplife.xml#map","map","map","","","","","","","","","","","","8","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","106","0","http://www.hozo.jp/rdf/startuplife.xml#normal_job","normal_job","normal job","","","","","","","","","","","","107","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","108","0","http://www.hozo.jp/rdf/startuplife.xml#wearable_device","wearable_device","wearable device","","","","","","","","","","","","83","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","20","0","http://www.hozo.jp/rdf/startuplife.xml#Rent","Rent","Rent","1325.67958997","96.2152998201","62","64","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","109","0","http://www.hozo.jp/rdf/startuplife.xml#use_chat_app","use_chat_app","use chat app","","","","","","","","","","","","22","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","37","0","http://www.hozo.jp/rdf/startuplife.xml#Public_transportion_activity","Public_transportion_activity","Public transportion activity","2523.48870969","1040.30164831","36","39","","","","","","","","19","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","28","0","http://www.hozo.jp/rdf/startuplife.xml#larger-than","larger-than","larger-than","1795.72097442","128.630472073","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","66","0","http://www.hozo.jp/rdf/startuplife.xml#Context","Context","Context","1723.97279808","981.191562465","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","110","0","http://www.hozo.jp/rdf/startuplife.xml#student_card","student_card","student card","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","95","0","http://www.hozo.jp/rdf/startuplife.xml#Drive_car","Drive_car","Drive car","","","","","","","","","","","","53","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","107","0","http://www.hozo.jp/rdf/startuplife.xml#Work","Work","Work","1868.29130042","1481.10014921","119","106","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","122","0","http://www.hozo.jp/rdf/startuplife.xml#apply_by_webpage","apply_by_webpage","apply by webpage","","","","","","","","","","","","22","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","5","0","http://www.hozo.jp/rdf/startuplife.xml#Service","Service","Service","1576.07994993","1144.49969164","123","124","4","107","73","24","121","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","75","0","http://www.hozo.jp/rdf/startuplife.xml#Transportation_tool","Transportation_tool","Transportation tool","514.359866739","1126.44854865","84","74","118","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","132","0","http://www.hozo.jp/rdf/startuplife.xml#icoca_card","icoca_card","icoca card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","21","0","http://www.hozo.jp/rdf/startuplife.xml#Make_an_appointment","Make_an_appointment","Make an appointment","","","","","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","81","0","http://www.hozo.jp/rdf/startuplife.xml#Go_to_city_hall","Go_to_city_hall","Go to city hall","","","","","","","","","","","","7","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","65","0","http://www.hozo.jp/rdf/startuplife.xml#WholnessConcept","WholnessConcept","WholenessConcept","","","17","","","","","","","","","","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","88","0","http://www.hozo.jp/rdf/startuplife.xml#payment_card","payment_card","payment card","486.548799097","1016.77876038","144","145","146","132","147","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","68","0","http://www.hozo.jp/rdf/startuplife.xml#Way","Way","Way","1171.85678667","374.977023297","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","152","0","http://www.hozo.jp/rdf/startuplife.xml#phone_call","phone_call","phone call","","","","","","","","","","","","22","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","56","0","http://www.hozo.jp/rdf/startuplife.xml#House","House","House","650.69513421","1315.9611243","103","55","","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","80","0","http://www.hozo.jp/rdf/startuplife.xml#Local_money","Local_money","Local money","","","","","","","","","","","","78","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","43","0","http://www.hozo.jp/rdf/startuplife.xml#next","next","next","1886.8485463","301.384568574","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","124","0","http://www.hozo.jp/rdf/startuplife.xml#Certification","Certification","Certification","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","58","0","http://www.hozo.jp/rdf/startuplife.xml#university","university","university","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","121","0","http://www.hozo.jp/rdf/startuplife.xml#Finance","Finance","Finance","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","41","0","http://www.hozo.jp/rdf/startuplife.xml#equal","equal","equal","","","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","161","0","http://www.hozo.jp/rdf/startuplife.xml#tablet","tablet","tablet","","","","","","","","","","","","83","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","119","0","http://www.hozo.jp/rdf/startuplife.xml#part-time_job","part-time_job","part-time job","","","","","","","","","","","","107","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","49","0","http://www.hozo.jp/rdf/startuplife.xml#sameAs","sameAs","sameAs","1905.0007455","-489.861828395","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","69","0","http://www.hozo.jp/rdf/startuplife.xml#Location","Location","Location","1336.44504537","1137.82952255","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","89","0","http://www.hozo.jp/rdf/startuplife.xml#Official_certification","Official_certification","Official certification","568.313024333","1230.68279337","150","101","110","99","166","167","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","150","0","http://www.hozo.jp/rdf/startuplife.xml#gym_card","gym_card","gym card","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","147","0","http://www.hozo.jp/rdf/startuplife.xml#suika_card","suika_card","suika card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","31","0","http://www.hozo.jp/rdf/startuplife.xml#health_insurance","health_insurance","health insurance","","","","","","","","","","","","32","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","182","0","http://www.hozo.jp/rdf/startuplife.xml#Pay","Pay","Pay","","","","","","","","","","","","18","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","104","0","http://www.hozo.jp/rdf/startuplife.xml#group","group","group","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","39","0","http://www.hozo.jp/rdf/startuplife.xml#Take_bus","Take_bus","Take bus","","","","","","","","","","","","37","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","166","0","http://www.hozo.jp/rdf/startuplife.xml#passport","passport","passport","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","83","0","http://www.hozo.jp/rdf/startuplife.xml#digial_device","digial_device","digial device","763.631983349","1379.93946644","161","82","186","108","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","188","0","http://www.hozo.jp/rdf/startuplife.xml#city_hall","city_hall","city hall","","","","","","","","","","","","60","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","18","0","http://www.hozo.jp/rdf/startuplife.xml#Finance_activity","Finance_activity","Finance activity","1992.18312628","614.341603606","182","93","191","91","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","22","0","http://www.hozo.jp/rdf/startuplife.xml#Communication_activity","Communication_activity","Communication activity","1960.66606517","493.959090867","54","152","109","122","197","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","118","0","http://www.hozo.jp/rdf/startuplife.xml#motor_bike","motor_bike","motor bike","","","","","","","","","","","","75","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","197","0","http://www.hozo.jp/rdf/startuplife.xml#send_email","send_email","send email","","","","","","","","","","","","22","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","200","0","http://www.hozo.jp/rdf/startuplife.xml#embassy","embassy","embassy","","","","","","","","","","","","60","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","60","0","http://www.hozo.jp/rdf/startuplife.xml#goverment","goverment","goverment","1086.05728709","1885.81182625","100","200","188","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","45","0","http://www.hozo.jp/rdf/startuplife.xml#not-equal","not-equal","not-equal","","","","","","","","","","","","29","",""
"union","anonymous","","214","0","","","","1089.38892295","730.812541837","","","","","","","","","","","9","69"
"external","","http://www.hozo.jp/rdf/startuplife.xml","64","0","http://www.hozo.jp/rdf/startuplife.xml#Rent_a_house","Rent_a_house","Rent a house","","","","","","","","","","","","20","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","144","0","http://www.hozo.jp/rdf/startuplife.xml#bank_card","bank_card","bank card","","","","","","","","","","","","88","",""
"union","anonymous","","165","0","","","","1666.40507441","-120.831446022","","","","","","","","","","","47","49"
"union","anonymous","","114","0","","","","1099.58026824","56.3549812201","","","","","","","","","","","96","68"
"external","","http://www.hozo.jp/rdf/startuplife.xml","12","0","http://www.hozo.jp/rdf/startuplife.xml#transportion","transportion","transportion","","","","","","","","","","","","8","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","145","0","http://www.hozo.jp/rdf/startuplife.xml#credit_card","credit_card","credit card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","32","0","http://www.hozo.jp/rdf/startuplife.xml#Insurance","Insurance","Insurance","519.128642686","802.182605855","31","34","","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","191","0","http://www.hozo.jp/rdf/startuplife.xml#Buy","Buy","Buy","","","","","","","","","","","","18","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","123","0","http://www.hozo.jp/rdf/startuplife.xml#Express","Express","Express","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","146","0","http://www.hozo.jp/rdf/startuplife.xml#bus_card","bus_card","bus card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","67","0","http://www.hozo.jp/rdf/startuplife.xml#Time_interval","Time_interval","Time interval","1489.91772737","167.099682484","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","79","0","http://www.hozo.jp/rdf/startuplife.xml#Homecountry_Money","Homecountry_Money","Homecountry Money","","","","","","","","","","","","78","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","186","0","http://www.hozo.jp/rdf/startuplife.xml#smart_phone","smart_phone","smart phone","","","","","","","","","","","","83","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","29","0","http://www.hozo.jp/rdf/startuplife.xml#RelationalConcept","RelationalConcept","RelationalConcept","2053.8580795","-163.213303297","41","43","45","47","49","28","","","","","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","105","0","http://www.hozo.jp/rdf/startuplife.xml#ATM","ATM","ATM","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","167","0","http://www.hozo.jp/rdf/startuplife.xml#visa","visa","visa","","","","","","","","","","","","89","",""
